primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
CD274,bladder cancer,immune_checkpoint,3,1,0.3333333333333333,0.24704401760144185,0.04383751030711849,0.5362842615745362,0.7256650443404796,3.259588276484756,0.42947619251775127
VEGFA,breast cancer,angiogenesis,3,1,0.3333333333333333,0.2626149792959411,0.045252034892872335,0.5690858649610475,0.6705817555284743,2.6907528492500834,0.4715991511822749
VEGFA,endometrial cancer,angiogenesis,3,0,0.0,0.10541526223518276,0.0017926559982338378,0.342127811136286,0.6705817555284743,2.6907528492500834,0.4715991511822749
BCL2,lymphoma,bcell_lymphoma_target,3,1,0.3333333333333333,0.1807239336236475,0.03483742149290458,0.3964092945064721,0.9233284936601529,6.719027806891773,0.28189246021056596
VEGFR2,bladder cancer,angiogenesis,3,2,0.6666666666666666,0.4198146963566994,0.13634912654925313,0.7338885437053922,0.6705817555284743,2.6907528492500834,0.4715991511822749
BTK,leukemia,growth_factor_kinase,3,1,0.3333333333333333,0.24200792075056726,0.03860106593067808,0.5379497754610196,0.6025372726252013,3.019300837693942,0.4530464124945835
CYP19A1,breast cancer,hormonal,3,0,0.0,0.10696070636673242,0.007560629884936342,0.29233830471676214,1.0952191909505538,6.144234419194971,0.2929843831732896
EGFR,hepatocellular carcinoma,growth_factor_kinase,2,0,0.0,0.10717798357074998,0.0011954664012943249,0.3610275281378743,0.6025372726252013,3.019300837693942,0.3557555306206537
VEGFA,renal cell carcinoma,angiogenesis,2,0,0.0,0.1250773930302326,0.0021874970651416343,0.39999813837021486,0.6705817555284743,2.6907528492500834,0.37304144349009666
TYMS,nsclc,cytotoxic_chemo,2,1,0.5,0.33846755174540616,0.04087773192380137,0.7422329045384115,0.25931056800784047,1.4613136440143757,0.5375442092586312
MTOR,breast cancer,cell_cycle,2,0,0.0,0.10872958441498558,0.004809680759490725,0.3169709828901599,0.9035267611747109,5.406325300121156,0.24067817155436977
MTOR,cancer nos,cell_cycle,2,0,0.0,0.10872958441498558,0.004809680759490725,0.3169709828901599,0.9035267611747109,5.406325300121156,0.24067817155436977
MTOR,leukemia,cell_cycle,2,0,0.0,0.10872958441498558,0.004809680759490725,0.3169709828901599,0.9035267611747109,5.406325300121156,0.24067817155436977
CD274,lymphoma,immune_checkpoint,2,1,0.5,0.28831946650213763,0.053136214746227844,0.6084911208870883,0.7256650443404796,3.259588276484756,0.3341546118091864
BRAF,ovarian cancer,ras_mapk_pathway,2,0,0.0,0.12701775998967085,0.003956322514122842,0.38226191837072887,0.7941963985407925,3.4584441660966005,0.31986486018583177
VEGFR2,melanoma,angiogenesis,2,0,0.0,0.1250773930302326,0.0021874970651416343,0.39999813837021486,0.6705817555284743,2.6907528492500834,0.37304144349009666
TUBB,nsclc,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
TUBB,melanoma,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
TUBB,endometrial cancer,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
CD274,breast cancer,immune_checkpoint,2,0,0.0,0.12124216059754447,0.002794698871023577,0.37818554879966276,0.7256650443404796,3.259588276484756,0.3341546118091864
PDCD1,breast cancer,immune_checkpoint,2,0,0.0,0.12124216059754447,0.002794698871023577,0.37818554879966276,0.7256650443404796,3.259588276484756,0.3341546118091864
PDCD1,hepatocellular carcinoma,immune_checkpoint,2,1,0.5,0.28831946650213763,0.053136214746227844,0.6084911208870883,0.7256650443404796,3.259588276484756,0.3341546118091864
BCL2,leukemia,bcell_lymphoma_target,2,0,0.0,0.09575755809887485,0.00442283964416278,0.2794381269645879,0.9233284936601529,6.719027806891773,0.20741818054218972
UNKNOWN,solid tumors,unmapped,2,1,0.5,0.4227706336909187,0.11392751257795801,0.7687194183489254,1.1575386604781213,1.9457927645126345,0.3919008650322221
PDCD1,gastric cancer,immune_checkpoint,2,1,0.5,0.28831946650213763,0.053136214746227844,0.6084911208870883,0.7256650443404796,3.259588276484756,0.3341546118091864
DNA,cervical cancer,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
EGFR,breast cancer,growth_factor_kinase,2,0,0.0,0.10717798357074998,0.0011954664012943249,0.3610275281378743,0.6025372726252013,3.019300837693942,0.3557555306206537
DNA,pancreatic cancer,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
UNKNOWN,renal cell carcinoma,unmapped,2,2,1.0,0.6187210662070298,0.2692587184204631,0.9113120624320642,1.1575386604781213,1.9457927645126345,0.3919008650322221
VEGFR2,prostate cancer,angiogenesis,2,1,0.5,0.31159811477528093,0.05626899952929443,0.6519485928988136,0.6705817555284743,2.6907528492500834,0.37304144349009666
PSMB5,nsclc,proteostasis_immunomodulatory,2,0,0.0,0.18176002068612132,0.023071419093629024,0.4344980067867728,1.4324021069242476,4.4483304189475525,0.253783514848926
ABL1,melanoma,growth_factor_kinase,2,1,0.5,0.2850557488810769,0.04738045712894415,0.6146814064836476,0.6025372726252013,3.019300837693942,0.3557555306206537
ERBB2,nsclc,growth_factor_kinase,2,0,0.0,0.10717798357074998,0.0011954664012943249,0.3610275281378743,0.6025372726252013,3.019300837693942,0.3557555306206537
UNKNOWN,melanoma,unmapped,2,2,1.0,0.6187210662070298,0.2692587184204631,0.9113120624320642,1.1575386604781213,1.9457927645126345,0.3919008650322221
DHFR,leukemia,cytotoxic_chemo,2,0,0.0,0.06969544711609056,2.103093072354302e-06,0.3286641677286417,0.25931056800784047,1.4613136440143757,0.5375442092586312
CYP17A1,cancer nos,hormonal,2,0,0.0,0.11853722494454991,0.008479874144907978,0.32160481104242106,1.0952191909505538,6.144234419194971,0.21646301657966757
