nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT00520403,bevacizumab,VEGFA,renal cell carcinoma,angiogenesis,0.67,0.136,0.125,"[0.00, 0.40]",2,0.25,0.128,29.0
NCT00004888,trastuzumab,ERBB2,breast cancer,growth_factor_kinase,0.89,0.244,0.268,"[0.14, 0.42]",21,0.76,0.25,86.2
NCT02661542,unmapped,UNKNOWN,solid tumors,unmapped,0.0,0.632,0.423,"[0.11, 0.77]",2,0.0,0.423,92.9
NCT00216021,capecitabine,TYMS,breast cancer,cytotoxic_chemo,0.56,0.174,0.463,"[0.07, 0.89]",1,0.2,0.404,65.2
NCT02801578,ibrutinib,BTK,leukemia,growth_factor_kinase,0.89,0.207,0.242,"[0.04, 0.54]",3,0.4,0.228,70.1
NCT00602771,etoposide,TOP2A,leukemia,cytotoxic_chemo,0.56,0.05,0.055,"[0.00, 0.26]",3,0.35,0.053,0.0
NCT01256398,dasatinib,ABL1,leukemia,growth_factor_kinase,0.89,0.117,0.057,"[0.00, 0.20]",7,0.59,0.092,13.6
NCT00269152,cisplatin,DNA,nsclc,cytotoxic_chemo,0.33,0.136,0.039,"[0.00, 0.18]",5,0.25,0.063,29.0
NCT02768792,pembrolizumab,PDCD1,leukemia,immune_checkpoint,0.67,0.14,0.146,"[0.00, 0.45]",1,0.13,0.145,52.8
NCT03043664,pembrolizumab,PDCD1,pancreatic cancer,immune_checkpoint,0.67,0.14,0.104,"[0.00, 0.33]",3,0.29,0.114,52.8
NCT02247349,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT00436644,lapatinib,ERBB2,ovarian cancer,growth_factor_kinase,0.89,0.157,0.13,"[0.00, 0.43]",1,0.19,0.136,62.2
NCT02280252,paclitaxel,TUBB,breast cancer,cytotoxic_chemo,0.33,0.133,0.363,"[0.16, 0.60]",10,0.28,0.298,14.7
NCT02795858,ramucirumab,KDR,cancer nos,angiogenesis,0.33,0.097,0.105,"[0.00, 0.34]",3,0.16,0.104,2.0
NCT01801111,erlotinib,EGFR,cancer nos,growth_factor_kinase,0.89,0.133,0.082,"[0.01, 0.20]",16,0.72,0.119,14.7
NCT00550771,trastuzumab,ERBB2,breast cancer,growth_factor_kinase,0.89,0.244,0.268,"[0.14, 0.42]",21,0.76,0.25,86.2
NCT04761198,nivolumab,PDCD1,solid tumors,immune_checkpoint,0.67,0.14,0.192,"[0.03, 0.43]",5,0.37,0.173,52.8
NCT02420314,carboplatin,DNA,cancer nos,cytotoxic_chemo,0.33,0.136,0.061,"[0.01, 0.16]",19,0.31,0.084,29.0
NCT00409006,gefitinib,EGFR,nsclc,growth_factor_kinase,0.89,0.167,0.191,"[0.05, 0.38]",10,0.65,0.175,63.6
NCT04518852,sorafenib,BRAF,hepatocellular carcinoma,ras_mapk_pathway,0.89,0.136,0.248,"[0.07, 0.48]",7,0.55,0.186,29.0
NCT02305758,bevacizumab,VEGFA,colorectal cancer,angiogenesis,0.67,0.136,0.178,"[0.03, 0.41]",6,0.43,0.16,29.0
NCT00867321,sorafenib,BRAF,hepatocellular carcinoma,ras_mapk_pathway,0.89,0.136,0.248,"[0.07, 0.48]",7,0.55,0.186,29.0
NCT03801304,atezolizumab,CD274,nsclc,immune_checkpoint,0.67,0.287,0.273,"[0.08, 0.52]",6,0.4,0.279,90.9
